ten_di_san,nam_cong_nhan,danh_sach,ghi_chu
Nhã nhạc cung đình Huế,2008,Đại diện,Huế (công bố Kiệt tác 2003)
Không gian văn hóa Cồng chiêng Tây Nguyên,2008,Đại diện,Tây Nguyên (công bố Kiệt tác 2005)
Dân ca Quan họ Bắc Ninh,2009,Đại diện,Bắc Ninh – Bắc Giang
Ca trù,2009,Cần bảo vệ khẩn cấp,Bắc Bộ và Bắc Trung Bộ
Hội Gióng ở đền Phù Đổng và đền Sóc,2010,Đại diện,Hà Nội
Tín ngưỡng thờ cúng Hùng Vương ở Phú Thọ,2012,Đại diện,Phú Thọ
Đờn ca tài tử Nam Bộ,2013,Đại diện,Nam Bộ
"Dân ca Ví, Giặm Nghệ Tĩnh",2014,Đại diện,Nghệ An – Hà Tĩnh
Nghi lễ và trò chơi kéo co,2015,Đại diện,"Đa quốc gia (VN, Campuchia, Hàn Quốc, Philippines)"
Thực hành Tín ngưỡng thờ Mẫu Tam phủ của người Việt,2016,Đại diện,Đồng bằng Bắc Bộ
Hát Xoan Phú Thọ,2017,Đại diện,Phú Thọ (chuyển từ danh sách khẩn cấp 2011 sang)
Nghệ thuật Bài chòi Trung Bộ,2017,Đại diện,Trung Bộ
"Thực hành Then của người Tày, Nùng, Thái",2019,Đại diện,Miền núi phía Bắc
Nghệ thuật Xòe Thái,2021,Đại diện,Tây Bắc (người Thái)
Nghệ thuật làm gốm của người Chăm,2022,Cần bảo vệ khẩn cấp,Khu vực người Chăm (Ninh Thuận cũ)
Lễ hội Vía Bà Chúa Xứ núi Sam,2024,Đại diện,An Giang
Nghề làm tranh dân gian Đông Hồ,2025,Cần bảo vệ khẩn cấp,Bắc Ninh
